"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81"
"1",0,2,3,2,2,3,3,4,2,2,4,3,4,4,3,3,2,2,4,3,2,3,3,2,3,3,3,3,3,3,4,3,2,3,3,2,2,1,3,3,3,3,3,2,2,5,4,3,3,3,3,1,3,2,3,4,3,3,2,3,3,2,4,3,3,4,3,4,3,2,5,3,3,3,2,3,3,2,3,3,1
"2",2,0,4,3,2,3,3,2,3,2,3,3,3,3,2,3,2,2,3,1,2,3,3,3,2,2,3,3,2,3,2,1,3,2,2,4,2,1,1,3,1,2,2,3,2,4,3,2,2,3,1,2,3,1,2,3,2,2,2,3,3,2,4,3,3,3,3,3,2,1,4,3,3,3,2,3,2,2,2,1,3
"3",3,4,0,1,2,3,3,3,1,3,5,3,4,3,4,3,2,3,4,3,3,3,3,3,4,4,3,3,2,4,4,3,3,4,4,2,3,3,4,3,3,3,4,3,2,5,4,4,3,3,4,2,2,3,3,4,3,4,2,3,2,2,4,3,3,3,4,4,3,3,4,3,5,3,3,3,3,4,3,3,4
"4",2,3,1,0,2,3,3,2,1,3,4,3,4,2,3,3,1,3,4,2,3,3,3,2,4,3,3,3,1,4,3,2,3,4,3,1,3,2,4,3,2,3,3,2,1,5,4,3,2,3,4,2,1,3,2,3,3,3,2,2,2,2,4,2,3,2,4,3,3,3,3,3,4,2,2,3,2,3,3,2,3
"5",2,2,2,2,0,1,2,4,1,2,3,1,2,4,3,1,2,3,3,3,3,1,1,3,4,3,2,1,3,3,4,3,3,3,3,3,2,1,3,1,3,2,3,3,2,4,2,2,2,1,3,2,2,2,3,4,3,2,2,3,1,2,3,4,1,3,2,2,2,3,3,1,3,3,2,2,2,2,3,3,3
"6",3,3,3,3,1,0,3,3,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,3,3,3,3,2,2,3,3,3,3,2,2,4,2,2,2,2,3,3,3,4,3,3,1,3,2,1,3,3,3,3,3,4,3,1,2,3,2,3,4,3,2,3,3,3,1,2,3,1,4,4,3,3,3,3,3,3,3
"7",3,3,3,3,2,3,0,3,2,2,3,1,3,3,2,1,2,1,3,2,3,1,2,3,3,2,2,3,3,2,3,2,3,2,2,4,1,3,3,1,3,2,2,2,3,4,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,1,3,3,2,3,2,2,2,3,3,2,5,3,3,2,2,4,2,3,2
"8",4,2,3,2,4,3,3,0,3,4,4,4,2,2,2,4,3,2,3,1,3,3,3,2,2,3,3,3,1,4,2,2,4,3,2,3,3,3,3,4,2,4,1,4,3,3,4,3,4,4,2,3,3,2,2,3,3,3,4,2,4,3,4,2,3,2,4,3,3,3,3,3,5,4,4,3,2,4,3,2,4
"9",2,3,1,1,1,2,2,3,0,2,4,2,3,3,3,2,1,2,3,3,2,2,2,2,3,3,2,2,2,3,3,2,2,3,3,2,2,2,3,2,3,2,3,2,1,4,3,3,2,2,3,1,1,2,2,3,2,3,1,3,1,1,3,3,2,3,3,3,2,2,4,2,4,3,2,2,2,3,2,3,3
"10",2,2,3,3,2,2,2,4,2,0,3,2,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,3,3,1,3,2,3,2,3,4,1,1,3,1,3,2,3,2,2,4,3,2,2,3,2,3,3,2,2,3,2,2,2,2,2,1,2,3,2,3,2,3,2,3,3,1,3,3,2,2,2,2,2,3,2
"11",4,3,5,4,3,2,3,4,4,3,0,4,4,4,3,3,4,3,3,4,2,2,4,4,3,3,3,4,3,4,3,4,4,2,2,5,2,4,2,3,3,3,3,4,5,1,3,3,3,3,3,3,4,3,3,4,3,1,4,3,4,3,4,4,4,4,3,4,3,4,5,3,6,5,4,3,3,5,3,4,3
"12",3,3,3,3,1,2,1,4,2,2,4,0,3,4,3,2,3,2,4,3,4,2,2,4,4,3,3,2,4,3,4,3,2,3,3,4,2,2,4,1,4,3,3,3,3,5,3,3,3,2,3,3,3,3,3,4,3,3,3,3,2,2,4,4,2,3,3,2,2,3,3,2,4,4,3,3,3,3,3,4,3
"13",4,3,4,4,2,2,3,2,3,2,4,3,0,4,3,3,3,2,4,3,3,3,1,4,2,3,3,2,3,3,3,3,3,3,2,5,2,3,3,2,2,2,1,3,4,3,2,3,2,3,2,3,3,3,3,4,3,3,2,2,3,2,4,4,3,3,3,2,1,2,3,1,5,4,4,3,3,4,3,4,3
"14",4,3,3,2,4,3,3,2,3,3,4,4,4,0,1,3,3,3,3,2,3,3,3,2,3,3,4,3,1,4,3,2,4,3,3,3,2,4,3,3,2,4,3,4,3,3,4,3,3,4,2,3,3,3,2,3,3,3,4,3,4,3,5,2,3,2,3,3,3,3,3,4,6,4,4,3,2,5,3,2,3
"15",3,2,4,3,3,3,2,2,3,2,3,3,3,1,0,2,3,2,2,1,2,3,3,3,2,2,3,4,2,3,2,3,3,2,2,4,1,3,2,2,1,3,2,3,4,2,4,2,2,4,1,3,3,2,2,3,2,2,4,2,3,2,4,3,3,3,2,3,3,3,4,3,5,4,4,3,3,4,2,1,2
"16",3,3,3,3,1,2,1,4,2,2,3,2,3,3,2,0,3,2,3,3,3,2,2,3,3,2,2,2,3,3,3,3,3,2,3,4,1,2,2,2,3,1,3,3,3,4,3,2,2,2,2,3,3,3,2,3,3,2,3,2,2,2,3,3,2,2,2,1,3,3,2,2,4,4,3,3,2,3,2,3,2
"17",2,2,2,1,2,3,2,3,1,2,4,3,3,3,3,3,0,3,3,3,3,3,2,3,4,3,2,3,2,3,3,2,3,3,3,2,2,1,3,3,3,2,4,2,1,4,4,3,3,3,3,2,2,2,2,3,2,3,2,3,2,1,3,3,2,3,3,3,3,3,4,3,3,3,1,2,2,2,2,3,3
"18",2,2,3,3,3,2,1,2,2,3,3,2,2,3,2,2,3,0,2,1,2,2,3,2,2,2,2,2,2,3,2,3,2,2,1,4,2,3,2,2,2,3,1,3,3,3,2,3,3,2,2,1,3,2,3,4,1,2,2,2,3,2,3,3,3,3,3,3,1,2,3,3,5,4,2,3,3,4,1,3,3
"19",4,3,4,4,3,3,3,3,3,3,3,4,4,3,2,3,3,2,0,2,2,3,3,4,2,3,1,4,3,3,2,3,3,1,2,5,2,3,3,3,3,3,3,3,4,3,4,3,3,4,2,3,4,2,3,4,1,2,4,3,3,2,2,4,3,4,3,4,3,3,5,4,5,4,4,3,3,4,3,3,3
"20",3,1,3,2,3,2,2,1,3,3,4,3,3,2,1,3,3,1,2,0,3,3,3,2,2,3,3,3,1,4,1,2,3,2,2,3,2,2,2,3,2,3,2,3,3,3,3,2,3,3,2,2,3,1,2,3,2,3,3,3,3,2,4,2,3,2,3,3,2,2,3,3,4,4,3,3,2,3,2,2,3
"21",2,2,3,3,3,2,3,3,2,2,2,4,3,3,2,3,3,2,2,3,0,2,4,2,1,1,3,4,3,3,2,3,2,2,2,4,2,3,2,3,3,3,2,4,3,3,3,3,3,3,3,1,3,3,3,4,3,1,3,3,3,3,4,3,4,4,3,4,3,2,5,3,5,5,2,3,3,4,3,3,3
"22",3,3,3,3,1,2,1,3,2,2,2,2,3,3,3,2,3,2,3,3,2,0,2,3,3,3,2,2,2,2,3,3,3,2,2,4,2,2,2,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,4,3,1,3,3,2,2,3,3,2,2,3,3,2,2,4,2,4,4,3,2,1,3,3,3,3
"23",3,3,3,3,1,2,2,3,2,2,4,2,1,3,3,2,2,3,3,3,4,2,0,3,3,3,2,2,2,3,3,2,2,3,3,4,2,2,2,1,3,1,2,2,3,4,3,3,3,2,3,3,3,2,2,3,2,3,3,3,2,1,3,3,2,3,3,2,2,3,3,2,4,3,3,2,2,3,2,3,3
"24",2,3,3,2,3,3,3,2,2,3,4,4,4,2,3,3,3,2,4,2,2,3,3,0,3,3,3,3,1,4,3,2,2,3,3,3,2,3,3,3,2,4,3,4,3,5,4,1,3,4,3,1,3,2,2,3,3,3,3,3,3,3,4,1,3,2,2,3,3,2,3,4,5,4,2,3,2,4,3,2,3
"25",3,2,4,4,4,3,3,2,3,3,3,4,2,3,2,3,4,2,2,2,1,3,3,3,0,2,3,4,3,4,1,2,3,1,2,5,2,3,2,3,2,3,1,4,4,3,2,3,3,4,2,2,4,2,3,4,3,2,4,2,4,3,4,4,4,4,3,4,3,3,5,3,5,5,3,4,4,4,3,3,3
"26",3,2,4,3,3,3,2,3,3,2,3,3,3,3,2,2,3,2,3,3,1,3,3,3,2,0,2,4,2,3,2,3,3,2,1,4,1,3,3,2,2,3,2,3,4,3,4,2,2,4,2,2,3,2,2,3,2,2,4,2,3,2,3,3,3,3,2,3,3,3,4,3,5,4,3,3,3,4,2,3,2
"27",3,3,3,3,2,3,2,3,2,2,3,3,3,4,3,2,2,2,1,3,3,2,2,3,3,2,0,3,3,2,3,2,2,2,1,4,2,3,3,2,2,2,2,2,3,3,4,2,2,3,3,2,3,2,2,3,2,2,3,3,2,1,1,3,2,4,2,3,3,3,4,3,5,3,3,2,2,4,2,3,3
"28",3,3,3,3,1,2,3,3,2,3,4,2,2,3,4,2,3,2,4,3,4,2,2,3,4,4,3,0,2,4,4,3,3,4,3,4,3,2,3,2,3,2,3,3,3,5,2,3,3,2,4,3,3,3,3,4,3,3,2,4,2,2,4,3,2,2,3,1,1,2,3,2,4,4,3,2,1,3,3,3,4
"29",3,2,2,1,3,2,3,1,2,3,3,4,3,1,2,3,2,2,3,1,3,2,2,1,3,2,3,2,0,3,2,1,3,3,2,2,2,3,3,3,1,3,2,3,2,4,3,2,3,3,3,2,2,2,1,2,3,2,3,3,3,2,4,1,2,1,3,2,2,2,2,3,5,3,3,2,1,4,3,1,3
"30",3,3,4,4,3,3,2,4,3,1,4,3,3,4,3,3,3,3,3,4,3,2,3,4,4,3,2,4,3,0,4,3,4,3,3,5,2,2,4,2,4,3,4,3,3,5,4,3,3,4,3,4,4,3,3,4,3,3,3,3,3,2,1,4,3,2,3,3,3,4,4,2,4,4,3,3,3,3,3,4,3
"31",4,2,4,3,4,3,3,2,3,3,3,4,3,3,2,3,3,2,2,1,2,3,3,3,1,2,3,4,2,4,0,1,4,1,2,4,2,3,2,3,3,3,2,3,4,2,3,3,3,4,2,3,4,2,2,3,2,2,4,3,3,2,4,3,3,3,3,4,3,3,4,4,5,4,4,3,3,4,3,3,3
"32",3,1,3,2,3,3,2,2,2,2,4,3,3,2,3,3,2,3,3,2,3,3,2,2,2,3,2,3,1,3,1,0,4,2,3,3,2,2,2,3,2,2,3,2,3,3,4,3,3,4,2,3,3,2,1,2,2,3,3,3,2,1,3,2,2,2,3,3,3,2,3,3,4,3,3,2,2,3,2,2,3
"33",2,3,3,3,3,3,3,4,2,3,4,2,3,4,3,3,3,2,3,3,2,3,2,2,3,3,2,3,3,4,4,4,0,3,3,4,2,2,3,3,4,2,3,3,3,5,3,3,1,4,3,1,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,2,4,4,2,2,2,3,3,4,3
"34",3,2,4,4,3,2,2,3,3,2,2,3,3,3,2,2,3,2,1,2,2,2,3,3,1,2,2,4,3,3,1,2,3,0,1,5,1,2,2,2,2,3,2,3,3,2,3,2,2,3,2,3,3,1,2,3,2,1,3,2,3,2,3,3,3,4,2,3,3,3,4,3,4,4,3,3,3,3,2,2,2
"35",3,2,4,3,3,2,2,2,3,3,2,3,2,3,2,3,3,1,2,2,2,2,3,3,2,1,1,3,2,3,2,3,3,1,0,4,2,2,2,3,1,3,1,3,3,2,3,2,3,3,2,2,4,1,3,4,1,1,3,2,3,2,2,3,3,3,3,4,2,3,4,3,4,4,3,3,3,3,2,2,3
"36",2,4,2,1,3,4,4,3,2,4,5,4,5,3,4,4,2,4,5,3,4,4,4,3,5,4,4,4,2,5,4,3,4,5,4,0,4,3,5,4,3,4,4,3,2,6,5,4,3,4,5,3,2,4,3,4,4,4,3,3,3,3,5,3,4,3,5,4,4,4,4,4,5,3,3,4,3,4,4,3,3
"37",2,2,3,3,2,2,1,3,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,2,4,0,2,2,1,2,2,2,2,3,3,3,1,1,3,1,3,2,2,1,2,2,1,3,1,2,1,3,2,2,3,1,2,2,2,3,2,4,3,3,2,2,3,1,2,1
"38",1,1,3,2,1,2,3,3,2,1,4,2,3,4,3,2,1,3,3,2,3,2,2,3,3,3,3,2,3,2,3,2,2,2,2,3,2,0,2,2,2,3,3,2,1,4,3,2,3,2,2,2,3,1,3,4,3,3,1,3,2,2,3,4,2,4,3,3,2,2,4,2,2,2,1,3,3,1,2,2,2
"39",3,1,4,4,3,2,3,3,3,3,2,4,3,3,2,2,3,2,3,2,2,2,2,3,2,3,3,3,3,4,2,2,3,2,2,5,2,2,0,3,2,1,3,3,3,3,3,2,3,3,2,3,4,1,3,4,2,1,3,3,3,2,4,4,3,3,3,2,3,2,3,3,4,4,3,3,3,3,1,2,3
"40",3,3,3,3,1,2,1,4,2,1,3,1,2,3,2,2,3,2,3,3,3,2,1,3,3,2,2,2,3,2,3,3,3,2,3,4,1,2,3,0,3,2,3,3,3,4,2,2,2,2,2,3,3,3,2,3,3,2,2,2,2,2,3,3,1,3,2,2,1,2,2,2,4,4,3,3,2,3,2,3,2
"41",3,1,3,2,3,3,3,2,3,3,3,4,2,2,1,3,3,2,3,2,3,3,3,2,2,2,2,3,1,4,3,2,4,2,1,3,2,2,2,3,0,3,1,4,3,3,4,3,3,4,2,3,3,2,2,3,2,2,3,2,4,3,3,2,3,2,3,3,3,2,3,3,4,4,3,3,2,3,3,2,3
"42",3,2,3,3,2,3,2,4,2,2,3,3,2,4,3,1,2,3,3,3,3,3,1,4,3,3,2,2,3,3,3,2,2,3,3,4,2,3,1,2,3,0,3,2,3,4,4,3,2,3,3,3,3,2,2,3,2,2,3,3,2,1,3,3,2,2,3,1,3,3,2,2,5,3,3,2,2,4,2,3,3
"43",3,2,4,3,3,3,2,1,3,3,3,3,1,3,2,3,4,1,3,2,2,3,2,3,1,2,2,3,2,4,2,3,3,2,1,4,2,3,3,3,1,3,0,4,4,2,3,3,3,3,1,2,4,2,3,4,2,2,3,1,4,3,3,3,4,3,3,3,2,3,4,2,5,5,3,4,3,4,2,3,3
"44",2,3,3,2,3,4,2,4,2,2,4,3,3,4,3,3,2,3,3,3,4,3,2,4,4,3,2,3,3,3,3,2,3,3,3,3,2,2,3,3,4,2,4,0,1,4,5,3,2,4,3,3,1,2,2,3,2,3,3,3,2,1,3,3,2,4,3,3,4,3,4,3,4,3,3,2,2,3,2,3,3
"45",2,2,2,1,2,3,3,3,1,2,5,3,4,3,4,3,1,3,4,3,3,3,3,3,4,4,3,3,2,3,4,3,3,3,3,2,3,1,3,3,3,3,4,1,0,5,4,3,3,3,3,2,2,2,3,4,3,4,2,3,2,2,4,3,3,3,4,4,3,3,4,3,3,3,2,3,3,2,3,3,3
"46",5,4,5,5,4,3,4,3,4,4,1,5,3,3,2,4,4,3,3,3,3,3,4,5,3,3,3,5,4,5,2,3,5,2,2,6,3,4,3,4,3,4,2,4,5,0,4,4,4,4,3,4,5,3,4,5,2,2,5,3,4,3,4,5,4,5,4,5,4,4,6,4,6,5,5,4,4,5,2,3,4
"47",4,3,4,4,2,1,3,4,3,3,3,3,2,4,4,3,4,2,4,3,3,2,3,4,2,4,4,2,3,4,3,4,3,3,3,5,3,3,3,2,4,4,3,5,4,4,0,3,3,2,4,3,4,4,4,5,3,2,2,4,3,4,4,4,3,4,4,3,1,2,3,2,5,4,4,4,3,4,3,4,4
"48",3,2,4,3,2,3,2,3,3,2,3,3,3,3,2,2,3,3,3,2,3,3,3,1,3,2,2,3,2,3,3,3,3,2,2,4,1,2,2,2,3,3,3,3,3,4,3,0,2,3,2,2,3,1,2,3,3,2,3,2,3,2,3,2,3,3,1,3,2,1,4,3,4,4,3,3,2,3,2,2,2
"49",3,2,3,2,2,2,2,4,2,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,1,2,3,3,1,3,3,2,3,2,3,2,3,4,3,2,0,3,2,2,1,3,2,3,3,2,3,2,2,2,3,3,3,3,2,2,2,1,4,1,5,4,3,1,2,4,2,3,2
"50",3,3,3,3,1,1,3,4,2,3,3,2,3,4,4,2,3,2,4,3,3,2,2,4,4,4,3,2,3,4,4,4,4,3,3,4,3,2,3,2,4,3,3,4,3,4,2,3,3,0,4,3,3,3,4,5,3,2,3,4,2,3,4,4,2,4,3,3,2,3,4,2,4,4,3,3,3,3,3,4,4
"51",3,1,4,4,3,3,2,2,3,2,3,3,2,2,1,2,3,2,2,2,3,3,3,3,2,2,3,4,3,3,2,2,3,2,2,5,1,2,2,2,2,3,1,3,3,3,4,2,2,4,0,3,3,2,2,3,1,2,3,2,3,2,4,3,3,4,2,3,3,2,4,3,4,4,3,3,3,3,2,2,2
"52",1,2,2,2,2,3,2,3,1,3,3,3,3,3,3,3,2,1,3,2,1,3,3,1,2,2,2,3,2,4,3,3,1,3,2,3,3,2,3,3,3,3,2,3,2,4,3,2,2,3,3,0,2,3,3,4,2,2,2,3,2,2,3,2,3,3,3,3,2,1,4,3,4,4,1,3,2,3,2,3,2
"53",3,3,2,1,2,3,3,3,1,3,4,3,3,3,3,3,2,3,4,3,3,3,3,3,4,3,3,3,2,4,4,3,2,3,4,2,2,3,4,3,3,3,4,1,2,5,4,3,1,3,3,2,0,3,3,4,3,3,2,3,1,2,4,3,3,3,3,3,3,2,4,2,5,3,2,2,3,4,3,3,3
"54",2,1,3,3,2,3,2,2,2,2,3,3,3,3,2,3,2,2,2,1,3,3,2,2,2,2,2,3,2,3,2,2,3,1,1,4,2,1,1,3,2,2,2,2,2,3,4,1,3,3,2,3,3,0,2,3,2,2,2,3,2,1,3,3,2,3,2,3,3,2,4,3,3,3,2,2,2,2,1,1,3
"55",3,2,3,2,3,3,2,2,2,2,3,3,3,2,2,2,2,3,3,2,3,3,2,2,3,2,2,3,1,3,2,1,3,2,3,3,1,3,3,2,2,2,3,2,3,4,4,2,2,4,2,3,3,2,0,1,2,2,3,2,2,1,3,2,2,2,2,3,3,3,3,3,5,3,3,2,2,4,2,2,2
"56",4,3,4,3,4,4,3,3,3,3,4,4,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,2,4,3,2,4,3,4,4,2,4,4,3,3,3,4,3,4,5,5,3,3,5,3,4,4,3,1,0,3,3,4,3,3,2,4,3,3,3,3,4,4,4,4,4,6,4,4,3,3,5,3,2,3
"57",3,2,3,3,3,3,2,3,2,2,3,3,3,3,2,3,2,1,1,2,3,3,2,3,3,2,2,3,3,3,2,2,3,2,1,4,2,3,2,3,2,2,2,2,3,2,3,3,3,3,1,2,3,2,2,3,0,2,3,3,2,1,3,3,2,4,3,3,2,2,4,3,5,3,3,2,2,4,2,3,3
"58",3,2,4,3,2,1,2,3,3,2,1,3,3,3,2,2,3,2,2,3,1,1,3,3,2,2,2,3,2,3,2,3,3,1,1,4,1,3,1,2,2,2,2,3,4,2,2,2,2,2,2,2,3,2,2,3,2,0,3,2,3,2,3,3,3,3,2,3,2,3,4,2,5,4,3,2,2,4,2,3,2
"59",2,2,2,2,2,2,3,4,1,2,4,3,2,4,4,3,2,2,4,3,3,3,3,3,4,4,3,2,3,3,4,3,3,3,3,3,3,1,3,2,3,3,3,3,2,5,2,3,3,3,3,2,2,2,3,4,3,3,0,4,1,2,4,4,3,4,4,3,1,2,3,3,3,2,2,3,3,2,3,3,3
"60",3,3,3,2,3,3,2,2,3,2,3,3,2,3,2,2,3,2,3,3,3,3,3,3,2,2,3,4,3,3,3,3,3,2,2,3,1,3,3,2,2,3,1,3,3,3,4,2,2,4,2,3,3,3,2,3,3,2,4,0,3,2,4,3,3,4,2,3,3,3,4,3,5,4,4,3,3,4,2,3,2
"61",3,3,2,2,1,2,2,4,1,2,4,2,3,4,3,2,2,3,3,3,3,2,2,3,4,3,2,2,3,3,3,2,3,3,3,3,2,2,3,2,4,2,4,2,2,4,3,3,2,2,3,2,1,2,2,3,2,3,1,3,0,1,3,3,2,4,3,3,2,3,4,2,4,2,2,2,2,3,2,3,3
"62",2,2,2,2,2,3,1,3,1,1,3,2,2,3,2,2,1,2,2,2,3,2,1,3,3,2,1,2,2,2,2,1,3,2,2,3,1,2,2,2,3,1,3,1,2,3,4,2,2,3,2,2,2,1,1,2,1,2,2,2,1,0,2,2,1,3,2,2,3,2,3,2,4,2,2,1,1,3,1,2,2
"63",4,4,4,4,3,4,3,4,3,2,4,4,4,5,4,3,3,3,2,4,4,3,3,4,4,3,1,4,4,1,4,3,3,3,2,5,3,3,4,3,3,3,3,3,4,4,4,3,3,4,4,3,4,3,3,4,3,3,4,4,3,2,0,4,3,3,3,4,4,4,5,3,5,4,4,3,3,4,3,4,4
"64",3,3,3,2,4,3,3,2,3,3,4,4,4,2,3,3,3,3,4,2,3,3,3,1,4,3,3,3,1,4,3,2,3,3,3,3,2,4,4,3,2,3,3,3,3,5,4,2,3,4,3,2,3,3,2,3,3,3,4,3,3,2,4,0,3,2,3,3,3,3,3,4,6,4,3,3,2,5,3,2,3
"65",3,3,3,3,1,2,2,3,2,2,4,2,3,3,3,2,2,3,3,3,4,2,2,3,4,3,2,2,2,3,3,2,3,3,3,4,2,2,3,1,3,2,4,2,3,4,3,3,3,2,3,3,3,2,2,3,2,3,3,3,2,1,3,3,0,3,3,3,2,2,3,2,4,3,3,2,1,3,2,3,3
"66",4,3,3,2,3,3,3,2,3,3,4,3,3,2,3,2,3,3,4,2,4,2,3,2,4,3,4,2,1,2,3,2,3,4,3,3,3,4,3,3,2,2,3,4,3,5,4,3,3,4,4,3,3,3,2,3,4,3,4,4,4,3,3,2,3,0,4,1,3,3,3,4,6,4,4,3,2,5,4,2,4
"67",3,3,4,4,2,3,2,4,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,2,3,5,1,3,3,2,3,3,3,3,4,4,4,1,2,3,2,3,3,2,2,3,3,2,4,2,3,2,3,3,3,4,0,3,3,2,4,3,5,4,4,3,3,4,2,3,2
"68",4,3,4,3,2,3,2,3,3,3,4,2,2,3,3,1,3,3,4,3,4,3,2,3,4,3,3,1,2,3,4,3,2,3,4,4,2,3,2,2,3,1,3,3,4,5,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,2,4,3,3,1,3,0,2,3,3,3,5,4,4,3,2,4,3,3,3
"69",3,2,3,3,2,1,2,3,2,2,3,2,1,3,3,3,3,1,3,2,3,2,2,3,3,3,3,1,2,3,3,3,2,3,2,4,2,2,3,1,3,3,2,4,3,4,1,2,2,2,3,2,3,3,3,4,2,2,1,3,2,3,4,3,2,3,3,2,0,1,2,2,4,3,3,3,2,3,2,3,3
"70",2,1,3,3,3,2,3,3,2,3,4,3,2,3,3,3,3,2,3,2,2,2,3,2,3,3,3,2,2,4,3,2,2,3,3,4,2,2,2,2,2,3,3,3,3,4,2,1,1,3,2,1,2,2,3,4,2,3,2,3,3,2,4,3,2,3,2,3,1,0,3,2,4,4,2,2,1,3,3,2,3
"71",5,4,4,3,3,3,3,3,4,3,5,3,3,3,4,2,4,3,5,3,5,4,3,3,5,4,4,3,2,4,4,3,4,4,4,4,3,4,3,2,3,2,4,4,4,6,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,5,3,3,3,4,3,2,3,0,4,6,5,5,4,3,5,4,3,4
"72",3,3,3,3,1,1,2,3,2,1,3,2,1,4,3,2,3,3,4,3,3,2,2,4,3,3,3,2,3,2,4,3,2,3,3,4,2,2,3,2,3,2,2,3,3,4,2,3,1,2,3,3,2,3,3,4,3,2,3,3,2,2,3,4,2,4,3,3,2,2,4,0,4,4,3,2,3,3,3,4,3
"73",3,3,5,4,3,4,5,5,4,3,6,4,5,6,5,4,3,5,5,4,5,4,4,5,5,5,5,4,5,4,5,4,4,4,4,5,4,2,4,4,4,5,5,4,3,6,5,4,5,4,4,4,5,3,5,6,5,5,3,5,4,4,5,6,4,6,5,5,4,4,6,4,0,4,3,5,5,3,4,4,4
"74",3,3,3,2,3,4,3,4,3,3,5,4,4,4,4,4,3,4,4,4,5,4,3,4,5,4,3,4,3,4,4,3,4,4,4,3,3,2,4,4,4,3,5,3,3,5,4,4,4,4,4,4,3,3,3,4,3,4,2,4,2,2,4,4,3,4,4,4,3,4,5,4,4,0,3,3,3,3,3,4,4
"75",2,2,3,2,2,3,3,4,2,2,4,3,4,4,4,3,1,2,4,3,2,3,3,2,3,3,3,3,3,3,4,3,2,3,3,3,3,1,3,3,3,3,3,3,2,5,4,3,3,3,3,1,2,2,3,4,3,3,2,4,2,2,4,3,3,4,4,4,3,2,5,3,3,3,0,3,3,2,3,3,2
"76",3,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,3,4,3,2,2,2,3,3,2,2,3,3,4,2,3,3,3,3,2,4,2,3,4,4,3,1,3,3,3,2,2,2,3,2,2,3,3,2,1,3,3,2,3,3,3,3,2,4,2,5,3,3,0,1,4,2,3,3
"77",3,2,3,2,2,3,2,2,2,2,3,3,3,2,3,2,2,3,3,2,3,1,2,2,4,3,2,1,1,3,3,2,2,3,3,3,2,3,3,2,2,2,3,2,3,4,3,2,2,3,3,2,3,2,2,3,2,2,3,3,2,1,3,2,1,2,3,2,2,1,3,3,5,3,3,1,0,4,2,2,3
"78",2,2,4,3,2,3,4,4,3,2,5,3,4,5,4,3,2,4,4,3,4,3,3,4,4,4,4,3,4,3,4,3,3,3,3,4,3,1,3,3,3,4,4,3,2,5,4,3,4,3,3,3,4,2,4,5,4,4,2,4,3,3,4,5,3,5,4,4,3,3,5,3,3,3,2,4,4,0,3,3,3
"79",3,2,3,3,3,3,2,3,2,2,3,3,3,3,2,2,2,1,3,2,3,3,2,3,3,2,2,3,3,3,3,2,3,2,2,4,1,2,1,2,3,2,2,2,3,2,3,2,2,3,2,2,3,1,2,3,2,2,3,2,2,1,3,3,2,4,2,3,2,3,4,3,4,3,3,2,2,3,0,2,2
"80",3,1,3,2,3,3,3,2,3,3,4,4,4,2,1,3,3,3,3,2,3,3,3,2,3,3,3,3,1,4,3,2,4,2,2,3,2,2,2,3,2,3,3,3,3,3,4,2,3,4,2,3,3,1,2,2,3,3,3,3,3,2,4,2,3,2,3,3,3,2,3,4,4,4,3,3,2,3,2,0,3
"81",1,3,4,3,3,3,2,4,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,2,3,3,1,2,3,2,3,3,3,3,3,4,4,2,2,4,2,2,3,3,2,3,3,2,3,2,3,2,4,3,3,4,2,3,3,3,4,3,4,4,2,3,3,3,2,3,0
