"","from","to","sign"
"1","AFG","CHN",1
"2","AFG","PAK",-1
"3","ALB","BUL",1
"4","ALB","CZE",1
"5","ALB","GDR",1
"6","ALB","ITA",-1
"7","ALB","POL",1
"8","ALB","ROM",1
"9","ALB","RUS",1
"10","ALB","GBR",-1
"11","ARG","BOL",1
"12","ARG","BRA",1
"13","ARG","CHL",-1
"14","ARG","COL",1
"15","ARG","COS",1
"16","ARG","CUB",1
"17","ARG","DOM",1
"18","ARG","ECU",1
"19","ARG","ELS",1
"20","ARG","GUA",1
"21","ARG","HAI",1
"22","ARG","HON",1
"23","ARG","MEX",1
"24","ARG","NIC",1
"25","ARG","PAN",1
"26","ARG","PAR",-1
"27","ARG","PER",1
"28","ARG","USA",1
"29","ARG","URU",1
"30","AUS","FRA",1
"31","AUS","NZD",1
"32","AUS","PAK",1
"33","AUS","PHL",1
"34","AUS","THA",1
"35","AUS","GBR",1
"36","AUT","HUN",-1
"37","AUT","ITA",-1
"38","BEL","CAN",1
"39","BEL","DRC",-1
"40","BEL","DEN",1
"41","BEL","FRA",1
"42","BEL","GDR",-1
"43","BEL","GFR",1
"44","BEL","GRC",1
"45","BEL","ICE",1
"46","BEL","ITA",1
"47","BEL","LUX",1
"48","BEL","NDL",1
"49","BEL","NOR",1
"50","BEL","PRG",1
"51","BEL","RUS",-1
"52","BEL","TUR",1
"53","BEL","GBR",1
"54","BOL","BRA",1
"55","BOL","CHL",1
"56","BOL","COL",1
"57","BOL","COS",1
"58","BOL","CUB",1
"59","BOL","DOM",1
"60","BOL","ECU",1
"61","BOL","ELS",1
"62","BOL","GUA",1
"63","BOL","HAI",1
"64","BOL","HON",1
"65","BOL","MEX",1
"66","BOL","NIC",1
"67","BOL","PAN",1
"68","BOL","PAR",1
"69","BOL","PER",1
"70","BOL","USA",1
"71","BOL","URU",1
"72","BRA","CHL",1
"73","BRA","COL",1
"74","BRA","COS",1
"75","BRA","CUB",1
"76","BRA","DOM",1
"77","BRA","ECU",1
"78","BRA","ELS",1
"79","BRA","GUA",1
"80","BRA","HAI",1
"81","BRA","HON",1
"82","BRA","MEX",1
"83","BRA","NIC",1
"84","BRA","PAN",1
"85","BRA","PAR",1
"86","BRA","PER",1
"87","BRA","RUS",-1
"88","BRA","USA",1
"89","BRA","URU",1
"90","BUL","CZE",1
"91","BUL","GDR",1
"92","BUL","HUN",1
"93","BUL","POL",1
"94","BUL","ROM",1
"95","CMB","CHN",1
"96","CMB","RVN",-1
"97","CAN","DEN",1
"98","CAN","FRA",1
"99","CAN","GFR",1
"100","CAN","GRC",1
"101","CAN","ICE",1
"102","CAN","ITA",1
"103","CAN","LUX",1
"104","CAN","NDL",1
"105","CAN","NOR",1
"106","CAN","PRG",1
"107","CAN","TUR",1
"108","CAN","GBR",1
"109","CAF","CHA",1
"110","CAF","CON",1
"111","CHA","CON",1
"112","CHL","COL",1
"113","CHL","COS",1
"114","CHL","CUB",1
"115","CHL","DOM",1
"116","CHL","ECU",1
"117","CHL","ELS",1
"118","CHL","GUA",1
"119","CHL","HAI",1
"120","CHL","HON",1
"121","CHL","MEX",1
"122","CHL","NIC",1
"123","CHL","PAN",1
"124","CHL","PAR",1
"125","CHL","PER",1
"126","CHL","USA",-1
"127","CHL","URU",1
"128","CHN","IND",-1
"129","CHN","JPN",-1
"130","CHN","MYR",-1
"131","CHN","NEP",-1
"132","CHN","RVN",-1
"133","CHN","KOR",-1
"134","CHN","TWN",-1
"135","CHN","GBR",-1
"136","COL","COS",1
"137","COL","CUB",1
"138","COL","DOM",1
"139","COL","ECU",1
"140","COL","ELS",1
"141","COL","GUA",1
"142","COL","HAI",1
"143","COL","HON",1
"144","COL","MEX",1
"145","COL","NIC",1
"146","COL","PAN",1
"147","COL","PAR",1
"148","COL","PER",1
"149","COL","USA",1
"150","COL","URU",1
"151","COS","CUB",1
"152","COS","DOM",1
"153","COS","ECU",1
"154","COS","ELS",1
"155","COS","GUA",1
"156","COS","HAI",1
"157","COS","HON",1
"158","COS","MEX",1
"159","COS","NIC",-1
"160","COS","PAN",1
"161","COS","PAR",1
"162","COS","PER",1
"163","COS","USA",1
"164","COS","URU",1
"165","CUB","DOM",-1
"166","CUB","ECU",1
"167","CUB","ELS",1
"168","CUB","GUA",1
"169","CUB","HAI",1
"170","CUB","HON",1
"171","CUB","MEX",1
"172","CUB","NIC",1
"173","CUB","PAN",1
"174","CUB","PAR",1
"175","CUB","PER",1
"176","CUB","USA",-1
"177","CUB","URU",1
"178","CYP","GRC",1
"179","CZE","GDR",1
"180","CZE","HUN",1
"181","CZE","POL",1
"182","CZE","ROM",1
"183","CZE","RUS",1
"184","DEN","FRA",1
"185","DEN","GFR",1
"186","DEN","GRC",1
"187","DEN","ICE",1
"188","DEN","ITA",1
"189","DEN","LUX",1
"190","DEN","NDL",1
"191","DEN","NOR",1
"192","DEN","PRG",1
"193","DEN","RUS",-1
"194","DEN","TUR",1
"195","DEN","GBR",1
"196","DOM","ECU",1
"197","DOM","ELS",1
"198","DOM","GUA",1
"199","DOM","HAI",1
"200","DOM","HON",1
"201","DOM","MEX",1
"202","DOM","NIC",1
"203","DOM","PAN",1
"204","DOM","PAR",1
"205","DOM","PER",1
"206","DOM","USA",-1
"207","DOM","URU",1
"208","ECU","ELS",1
"209","ECU","GUA",1
"210","ECU","HAI",1
"211","ECU","HON",1
"212","ECU","MEX",1
"213","ECU","NIC",1
"214","ECU","PAN",1
"215","ECU","PAR",1
"216","ECU","PER",1
"217","ECU","USA",1
"218","ECU","URU",1
"219","EGY","IRQ",-1
"220","EGY","ISR",-1
"221","EGY","JOR",-1
"222","EGY","LEB",1
"223","EGY","LYB",1
"224","EGY","MOR",1
"225","EGY","SAU",1
"226","EGY","SUD",-1
"227","EGY","SYR",1
"228","EGY","TUN",1
"229","EGY","TUR",-1
"230","EGY","GBR",-1
"231","EGY","USA",-1
"232","ELS","GUA",1
"233","ELS","HAI",1
"234","ELS","HON",1
"235","ELS","MEX",1
"236","ELS","NIC",1
"237","ELS","PAN",1
"238","ELS","PAR",1
"239","ELS","PER",1
"240","ELS","USA",1
"241","ELS","URU",1
"242","CAF","FRA",1
"243","CHA","FRA",1
"244","CON","FRA",1
"245","FRA","GAB",1
"246","FRA","GFR",1
"247","FRA","GRC",1
"248","FRA","ICE",1
"249","FRA","ITA",1
"250","FRA","LUX",1
"251","FRA","MOR",-1
"252","FRA","NDL",1
"253","FRA","NZD",1
"254","FRA","NOR",1
"255","FRA","PAK",1
"256","FRA","PHL",1
"257","FRA","PRG",1
"258","FRA","RUS",-1
"259","FRA","SYR",-1
"260","FRA","THA",1
"261","FRA","TUN",-1
"262","FRA","TUR",1
"263","FRA","GBR",1
"264","GDR","POL",1
"265","GDR","ROM",1
"266","GDR","RUS",1
"267","GFR","GRC",1
"268","GFR","ICE",1
"269","GFR","ITA",1
"270","GFR","LUX",1
"271","GFR","NDL",1
"272","GFR","NOR",1
"273","GFR","PRG",1
"274","GFR","TUR",1
"275","GFR","GBR",1
"276","DRC","GHA",-1
"277","GRC","ICE",1
"278","GRC","ITA",1
"279","GRC","LUX",1
"280","GRC","NDL",1
"281","GRC","NOR",1
"282","GRC","PRG",1
"283","GRC","TUR",-1
"284","GRC","GBR",1
"285","GRC","USA",1
"286","GUA","HAI",1
"287","GUA","HON",1
"288","GUA","MEX",-1
"289","GUA","NIC",1
"290","GUA","PAN",1
"291","GUA","PAR",1
"292","GUA","PER",1
"293","GUA","USA",-1
"294","GUA","URU",1
"295","HAI","HON",1
"296","HAI","MEX",1
"297","HAI","NIC",1
"298","HAI","PAN",1
"299","HAI","PAR",1
"300","HAI","PER",1
"301","HAI","USA",1
"302","HAI","URU",1
"303","HON","MEX",1
"304","HON","NIC",-1
"305","HON","PAN",1
"306","HON","PAR",1
"307","HON","PER",1
"308","HON","USA",1
"309","HON","URU",1
"310","HUN","POL",1
"311","HUN","ROM",1
"312","ICE","ITA",1
"313","ICE","LUX",1
"314","ICE","NDL",1
"315","ICE","NOR",1
"316","ICE","PRG",1
"317","ICE","TUR",1
"318","ICE","GBR",-1
"319","IND","MYR",-1
"320","IRN","IRQ",-1
"321","IRN","PAK",1
"322","IRN","RUS",-1
"323","IRN","TUR",1
"324","IRN","GBR",1
"325","IRQ","JOR",1
"326","IRQ","LEB",1
"327","IRQ","LYB",1
"328","IRQ","MOR",1
"329","IRQ","PAK",1
"330","IRQ","SAU",1
"331","IRQ","SUD",1
"332","IRQ","SYR",-1
"333","IRQ","TUN",1
"334","IRQ","TUR",-1
"335","IRQ","GBR",-1
"336","IRQ","USA",-1
"337","ISR","JOR",-1
"338","ISR","LEB",-1
"339","ISR","SAU",-1
"340","ITA","LUX",1
"341","ITA","NDL",1
"342","ITA","NOR",1
"343","ITA","PRG",1
"344","ITA","SYR",-1
"345","ITA","TUR",1
"346","ITA","GBR",1
"347","JPN","RUS",-1
"348","JPN","KOR",-1
"349","JOR","LEB",1
"350","JOR","LYB",1
"351","JOR","MOR",1
"352","JOR","RUS",-1
"353","JOR","SAU",1
"354","JOR","SUD",1
"355","JOR","SYR",-1
"356","JOR","TUN",1
"357","LAO","RUS",-1
"358","LAO","THA",-1
"359","LEB","LYB",1
"360","LEB","MOR",1
"361","LEB","SAU",1
"362","LEB","SUD",1
"363","LEB","SYR",1
"364","LEB","TUN",1
"365","LYB","MOR",1
"366","LYB","SAU",1
"367","LYB","SUD",1
"368","LYB","SYR",1
"369","LYB","TUN",1
"370","LYB","GBR",1
"371","LUX","NDL",1
"372","LUX","NOR",1
"373","LUX","PRG",1
"374","LUX","TUR",1
"375","LUX","GBR",1
"376","MEX","NIC",1
"377","MEX","PAN",1
"378","MEX","PAR",1
"379","MEX","PER",1
"380","MEX","USA",1
"381","MEX","URU",1
"382","MOR","SAU",1
"383","MOR","ESP",-1
"384","MOR","SUD",1
"385","MOR","SYR",1
"386","MOR","TUN",1
"387","MYR","PAK",-1
"388","INS","NDL",-1
"389","NDL","NOR",1
"390","NDL","PRG",1
"391","NDL","TUR",1
"392","NDL","GBR",1
"393","NZD","PAK",1
"394","NZD","PHL",1
"395","NZD","THA",1
"396","NZD","GBR",1
"397","NIC","PAN",1
"398","NIC","PAR",1
"399","NIC","PER",1
"400","NIC","USA",1
"401","NIC","URU",1
"402","NKR","KOR",-1
"403","NOR","PRG",1
"404","NOR","RUS",-1
"405","NOR","TUR",1
"406","NOR","GBR",1
"407","IND","PAK",-1
"408","PAK","PHL",1
"409","PAK","RUS",-1
"410","PAK","THA",1
"411","PAK","TUR",1
"412","PAK","GBR",1
"413","PAN","PAR",1
"414","PAN","PER",1
"415","PAN","USA",1
"416","PAN","URU",1
"417","PAR","PER",1
"418","PAR","USA",1
"419","PAR","URU",1
"420","PER","USA",1
"421","PER","URU",1
"422","PHL","RUS",-1
"423","PHL","THA",1
"424","PHL","GBR",1
"425","POL","ROM",1
"426","PRG","ESP",1
"427","PRG","TUR",1
"428","PRG","GBR",1
"429","AFG","RUS",1
"430","BUL","RUS",1
"431","FIN","RUS",1
"432","HUN","RUS",1
"433","MON","RUS",1
"434","POL","RUS",1
"435","ROM","RUS",1
"436","RUS","KOR",-1
"437","RUS","TWN",-1
"438","RUS","TUR",-1
"439","RUS","GBR",-1
"440","SAU","SUD",1
"441","SAU","SYR",1
"442","SAU","TUN",1
"443","ETH","SOM",-1
"444","SUD","SYR",1
"445","SUD","TUN",1
"446","ISR","SYR",-1
"447","SYR","TUN",1
"448","SYR","TUR",-1
"449","SYR","USA",-1
"450","CMB","THA",-1
"451","MYR","THA",-1
"452","THA","GBR",1
"453","CYP","TUR",1
"454","TUR","GBR",1
"455","TUR","USA",1
"456","MYS","GBR",1
"457","GBR","USA",1
"458","ALB","USA",-1
"459","AUS","USA",1
"460","AUT","USA",-1
"461","BEL","USA",1
"462","CAN","USA",1
"463","CHN","USA",-1
"464","CZE","USA",-1
"465","DEN","USA",1
"466","FRA","USA",1
"467","GDR","USA",-1
"468","GFR","USA",1
"469","ICE","USA",1
"470","IRN","USA",1
"471","ITA","USA",1
"472","JPN","USA",1
"473","LUX","USA",1
"474","NDL","USA",1
"475","NZD","USA",1
"476","NKR","USA",-1
"477","NOR","USA",1
"478","PAK","USA",1
"479","PHL","USA",1
"480","PRG","USA",1
"481","RUS","USA",-1
"482","KOR","USA",1
"483","SWZ","USA",-1
"484","TWN","USA",1
"485","THA","USA",1
"486","USA","URU",1
"487","ARG","VZA",1
"488","BOL","VZA",1
"489","BRA","VZA",1
"490","CHL","VZA",1
"491","COL","VZA",1
"492","COS","VZA",1
"493","CUB","VZA",1
"494","DOM","VZA",-1
"495","ECU","VZA",1
"496","ELS","VZA",1
"497","GUA","VZA",1
"498","HAI","VZA",1
"499","HON","VZA",1
"500","MEX","VZA",1
"501","NIC","VZA",1
"502","PAN","VZA",1
"503","PAR","VZA",1
"504","PER","VZA",1
"505","USA","VZA",1
"506","URU","VZA",1
"507","LAO","VTN",-1
"508","RVN","VTN",-1
"509","EGY","YAR",1
"510","IRQ","YAR",1
"511","JOR","YAR",1
"512","LEB","YAR",1
"513","LYB","YAR",1
"514","MOR","YAR",1
"515","SAU","YAR",1
"516","SUD","YAR",1
"517","SYR","YAR",1
"518","TUN","YAR",1
"519","GBR","YAR",-1
"520","GRC","YUG",1
"521","TUR","YUG",1
